"TP load","Qmin","Crop production","NSWRM costs","linE","pond_share_con","hedge_share_con","grassslope_share_con","buffer_share_con","lowtillcc_share_con","lu_share","pond_moran","hedge_moran","grassslope_moran","buffer_moran","lowtillcc_moran","pond_channel_frac","grassslope_channel_frac","buffer_channel_frac","lowtillcc_channel_frac"
-5899,0.14326,58655.601,-18192.70369,89.38053097,0,0,96.39521778,93.82154098,22.44073318,6.603382223,0,0,0.000463341,0.002916408,0.001716377,0,2.09090883,0.770390661,23.68376363
-5528,0.14508,58934.842,-341709.964,9.143968872,49.62658086,9.141948386,48.05140503,21.88146624,86.47401889,0.880882276,0.000184119,0.000276953,0.000604818,0.000552503,0.00185379,1.984747286,4.475989318,9.321888424,0.076623833
-6082,0.14192,58720.176,49020.09907,4800,0,0,78.93471419,95.82356525,0.06530635,95.43425097,0,0,0.000129324,0.003066136,0.000144433,0,2.553421699,0.75119548,64.20267236
-6483,0.14259,59029.383,-69837.78486,10.60606061,0,0,8.805012279,21.77877853,23.06266424,0.820069204,0,0,0.000276072,0.000510783,0.002168396,0,0.050591194,9.365841457,0.109137906
-5413,0.1464,58799.957,-356723.2344,8.487084871,20.79622839,9.141948386,51.46046828,19.44594963,93.35025234,0.85467858,0.000115852,0.000276953,0.000533495,0.000412505,0.001530562,3.968728032,4.179471794,11.74820465,0.060094008
-5250,0.14656,58593.571,-480454.0178,23.84769539,20.79622839,29.40889747,85.22384939,96.10285055,93.72204871,1.734019722,0.000115852,0.00063517,0.000132373,0.003071656,0.00118911,3.968728032,2.364990709,0.749012424,0.58601106
-6146,0.1436,59158.027,-202980.183,6.402439024,30.68023647,2.157567036,12.12474576,15.44155013,56.35962642,0.401582938,0.00014153,0.000512822,0.000311696,0.000245191,0.003060321,2.408856334,0.028568039,14.34720896,0.173118341
-5233,0.14647,58463.854,-998675.3192,31.28834356,56.19396842,100,88.31389369,94.11500462,94.37253282,2.258531843,0.000179282,0.002654551,0.000283834,0.003091612,0.001831076,1.752789924,2.066698929,0.766410567,0.581971846
-5703,0.14366,58715.88,-85147.02758,43.94618834,30.68023647,0,78.8119903,95.82356525,37.62418638,3.496664942,0.00014153,0,0.000138937,0.003066136,0.00283246,2.408856334,2.728995612,0.75119548,1.660374228
-6021,0.14316,58677.114,-8568.70874,99.01960784,0,0,92.62041725,99.00800725,19.36179809,7.43504477,0,0,0.000454372,0.003284652,0.002207196,0,1.970604699,0.728534348,0.74833354
-5345,0.14523,58685.756,-239336.4153,23.28767123,27.36361595,1.873319565,89.00855481,99.00800725,81.37960097,1.83464471,0.000143328,8.59e-05,0.000492706,0.003284652,0.003146661,3.016215938,1.836709373,0.728534348,0.484831004
-6574,0.14271,59024.854,-53905.45874,1.785714286,20.79622839,0,0,0,14.76857056,0,0.000115852,0,0,0,0.001996492,3.968728032,0,0,0.178605932
-5871,0.14314,58656.502,-27102.96431,78.19548872,0,0,100,88.62644135,25.34332717,5.993494695,0,0,0.000470486,0.002881228,0.001647465,0,1.825182295,0.813873748,20.97124095
-6681,0.14212,59035.853,-30517.77018,5.769230769,33.94896356,0,0,0,6.850600774,0,9.31e-05,0,0,0,0.00117729,2.431136798,0,0,0.074652228
-5269,0.14573,58648.033,-314947.8283,24.88986784,20.79622839,11.25484299,86.92826952,99.40029817,83.84023332,1.827455879,0.000115852,0.000570795,0.000150954,0.003318682,0.002944434,3.968728032,2.318619859,0.724165122,0.697419086
